+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|   T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | HL   |mem | Asm          |
+------+----+------+------+------+----+----+------+----+------+------+----+------+------+----+--------------+
|  1/1 | M1 |      |      |      |    |    | 0000 | 00 | 0000 | 5555 | 00 | 5555 | 5555 | 40 | LD SP,0030h  |
|  1/0 | M1 | MREQ |      |      | RD |    | 0000 | 00 | 0001 | 5555 | 00 | 5555 | 5555 | 40 | LD SP,0030h  |
|  2/1 | M1 | MREQ |      |      | RD |    | 0000 | 31 | 0001 | 5555 | 00 | 5555 | 5555 | 40 | LD SP,0030h  |
|  2/0 | M1 | MREQ |      |      | RD |    | 0000 | 31 | 0001 | 5555 | 00 | 5555 | 5555 | 40 | LD SP,0030h  |
|  3/1 |    |      |      | RFSH |    |    | 0000 | 31 | 0001 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  3/0 |    | MREQ |      | RFSH |    |    | 0000 | 31 | 0001 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  4/1 |    | MREQ |      | RFSH |    |    | 0000 | 31 | 0001 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  4/0 |    |      |      | RFSH |    |    | 0000 | 31 | 0001 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  5/1 |    |      |      |      |    |    | 0001 | 31 | 0001 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  5/0 |    | MREQ |      |      | RD |    | 0001 | 31 | 0002 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  6/1 |    | MREQ |      |      | RD |    | 0001 | 30 | 0002 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  6/0 |    | MREQ |      |      | RD |    | 0001 | 30 | 0002 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  7/1 |    | MREQ |      |      | RD |    | 0001 | 30 | 0002 | 5555 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  7/0 |    |      |      |      |    |    | 0001 | 30 | 0002 | 5530 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  8/1 |    |      |      |      |    |    | 0002 | 30 | 0002 | 5530 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  8/0 |    | MREQ |      |      | RD |    | 0002 | 30 | 0003 | 5530 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  9/1 |    | MREQ |      |      | RD |    | 0002 | 00 | 0003 | 5530 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
|  9/0 |    | MREQ |      |      | RD |    | 0002 | 00 | 0003 | 5530 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
| 10/1 |    | MREQ |      |      | RD |    | 0002 | 00 | 0003 | 5530 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
| 10/0 |    |      |      |      |    |    | 0002 | 00 | 0003 | 0030 | 31 | 5555 | 5555 | 40 | LD SP,0030h  |
| 11/1 | M1 |      |      |      |    |    | 0003 | 00 | 0003 | 0030 | 31 | 5555 | 5555 | 40 | CALL 0008h   |
| 11/0 | M1 | MREQ |      |      | RD |    | 0003 | 00 | 0004 | 0030 | 31 | 5555 | 5555 | 40 | CALL 0008h   |
| 12/1 | M1 | MREQ |      |      | RD |    | 0003 | CD | 0004 | 0030 | 31 | 5555 | 5555 | 40 | CALL 0008h   |
| 12/0 | M1 | MREQ |      |      | RD |    | 0003 | CD | 0004 | 0030 | 00 | 5555 | 5555 | 40 | CALL 0008h   |
| 13/1 |    |      |      | RFSH |    |    | 0001 | CD | 0004 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 13/0 |    | MREQ |      | RFSH |    |    | 0001 | CD | 0004 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 14/1 |    | MREQ |      | RFSH |    |    | 0001 | CD | 0004 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 14/0 |    |      |      | RFSH |    |    | 0001 | CD | 0004 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 15/1 |    |      |      |      |    |    | 0004 | CD | 0004 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 15/0 |    | MREQ |      |      | RD |    | 0004 | CD | 0005 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 16/1 |    | MREQ |      |      | RD |    | 0004 | 08 | 0005 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 16/0 |    | MREQ |      |      | RD |    | 0004 | 08 | 0005 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 17/1 |    | MREQ |      |      | RD |    | 0004 | 08 | 0005 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 17/0 |    |      |      |      |    |    | 0004 | 08 | 0005 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 18/1 |    |      |      |      |    |    | 0005 | 08 | 0005 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 18/0 |    | MREQ |      |      | RD |    | 0005 | 08 | 0006 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 19/1 |    | MREQ |      |      | RD |    | 0005 | 00 | 0006 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 19/0 |    | MREQ |      |      | RD |    | 0005 | 00 | 0006 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 20/1 |    | MREQ |      |      | RD |    | 0005 | 00 | 0006 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 20/0 |    |      |      |      |    |    | 0005 | 00 | 0006 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 21/1 |    |      |      |      |    |    | 0005 | 00 | 0006 | 0030 | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 21/0 |    |      |      |      |    |    | 0005 | 00 | 0006 | 002F | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 22/1 |    |      |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 22/0 |    | MREQ |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 23/1 |    | MREQ |      |      |    |    | 002F | 00 | 0006 | 002F | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 23/0 |    | MREQ |      |      |    | WR | 002F | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 24/1 |    | MREQ |      |      |    | WR | 002F | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
| 24/0 |    |      |      |      |    |    | 002F | 00 | 0006 | 002E | CD | 5555 | 5555 | 40 | CALL 0008h   |
