+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
|   1/1 | M1 |      |      |      |    |    |     |     |      | 0000 | 00 | 0000 | 5555 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   1/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0000 | 00 | 0001 | 5555 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   2/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0000 | F3 | 0001 | 5555 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   2/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0000 | F3 | 0001 | 5555 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   3/1 |    |      |      | RFSH |    |    |     |     |      | 0000 | F3 | 0001 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   3/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0000 | F3 | 0001 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   4/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0000 | F3 | 0001 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   4/0 |    |      |      | RFSH |    |    |     |     |      | 0000 | F3 | 0001 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | DI           |
|   5/1 | M1 |      |      |      |    |    |     |     |      | 0001 | F3 | 0001 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   5/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0001 | F3 | 0002 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   6/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0001 | 31 | 0002 | 5555 | F3 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   6/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0001 | 31 | 0002 | 5555 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   7/1 |    |      |      | RFSH |    |    |     |     |      | 0001 | 31 | 0002 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   7/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0001 | 31 | 0002 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   8/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0001 | 31 | 0002 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   8/0 |    |      |      | RFSH |    |    |     |     |      | 0001 | 31 | 0002 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   9/1 |    |      |      |      |    |    |     |     |      | 0002 | 31 | 0002 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|   9/0 |    | MREQ |      |      | RD |    |     |     |      | 0002 | 31 | 0003 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  10/1 |    | MREQ |      |      | RD |    |     |     |      | 0002 | 00 | 0003 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  10/0 |    | MREQ |      |      | RD |    |     |     |      | 0002 | 00 | 0003 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  11/1 |    | MREQ |      |      | RD |    |     |     |      | 0002 | 00 | 0003 | 5555 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  11/0 |    |      |      |      |    |    |     |     |      | 0002 | 00 | 0003 | 5500 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  12/1 |    |      |      |      |    |    |     |     |      | 0003 | 00 | 0003 | 5500 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  12/0 |    | MREQ |      |      | RD |    |     |     |      | 0003 | 00 | 0004 | 5500 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  13/1 |    | MREQ |      |      | RD |    |     |     |      | 0003 | 00 | 0004 | 5500 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  13/0 |    | MREQ |      |      | RD |    |     |     |      | 0003 | 00 | 0004 | 5500 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  14/1 |    | MREQ |      |      | RD |    |     |     |      | 0003 | 00 | 0004 | 5500 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  14/0 |    |      |      |      |    |    |     |     |      | 0003 | 00 | 0004 | 0000 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | LD SP,0000h  |
|  15/1 | M1 |      |      |      |    |    |     |     |      | 0004 | 00 | 0004 | 0000 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  15/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0004 | 00 | 0005 | 0000 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  16/1 | M1 | MREQ |      |      | RD |    |     |     |      | 0004 | ED | 0005 | 0000 | 31 | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  16/0 | M1 | MREQ |      |      | RD |    |     |     |      | 0004 | ED | 0005 | 0000 | 00 | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  17/1 |    |      |      | RFSH |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  17/0 |    | MREQ |      | RFSH |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  18/1 |    | MREQ |      | RFSH |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
|  18/0 |    |      |      | RFSH |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | 5555 | 5555 | 5555 | FF FF | FF FF | IM 2         |
