+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
| Tick  | M1 | MREQ | IORQ | RFSH | RD | WR | INT | NMI | IFF1 | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   | Io    | Mem   | Asm          |
+-------+----+------+------+------+----+----+-----+-----+------+------+----+------+------+----+------+------+------+-------+-------+--------------+
|     1 | M1 | MREQ |      |      | RD |    |     |     |      | 0000 | 00 | 0001 | FFFF | 00 | FFFF | FFFF | FFFF | FF FF | FF FF | DI           |
|     2 |    |      |      |      |    |    |     |     |      | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF FF | FF FF | DI           |
|     3 |    | MREQ |      | RFSH |    |    |     |     |      | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF FF | FF FF | DI           |
|     4 |    |      |      |      |    |    |     |     |      | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF FF | FF FF | DI           |
|     5 | M1 | MREQ |      |      | RD |    |     |     |      | 0001 | F3 | 0002 | FFFF | F3 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|     6 |    |      |      |      |    |    |     |     |      | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|     7 |    | MREQ |      | RFSH |    |    |     |     |      | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|     8 |    |      |      |      |    |    |     |     |      | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|     9 |    |      |      |      |    |    |     |     |      | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|    10 |    | MREQ |      |      | RD |    |     |     |      | 0002 | 31 | 0003 | FFFF | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|    11 |    |      |      |      |    |    |     |     |      | 0002 | 00 | 0003 | FF00 | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|    12 |    |      |      |      |    |    |     |     |      | 0002 | 00 | 0003 | FF00 | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|    13 |    | MREQ |      |      | RD |    |     |     |      | 0003 | 00 | 0004 | FF00 | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|    14 |    |      |      |      |    |    |     |     |      | 0003 | 00 | 0004 | 0000 | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | LD SP,0000h  |
|    15 | M1 | MREQ |      |      | RD |    |     |     |      | 0004 | 00 | 0005 | 0000 | 31 | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    16 |    |      |      |      |    |    |     |     |      | 0004 | ED | 0005 | 0000 | ED | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    17 |    | MREQ |      | RFSH |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    18 |    |      |      |      |    |    |     |     |      | 0002 | ED | 0005 | 0000 | ED | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    19 | M1 | MREQ |      |      | RD |    |     |     |      | 0005 | ED | 0006 | 0000 | ED | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    20 |    |      |      |      |    |    |     |     |      | 0005 | 5E | 0006 | 0000 | 5E | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    21 |    | MREQ |      | RFSH |    |    |     |     |      | 0003 | 5E | 0006 | 0000 | 5E | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    22 |    |      |      |      |    |    |     |     |      | 0003 | 5E | 0006 | 0000 | 5E | FFFF | FFFF | FFFF | FF FF | FF FF | IM 2         |
|    23 | M1 | MREQ |      |      | RD |    |     |     |      | 0006 | 5E | 0007 | 0000 | 5E | FFFF | FFFF | FFFF | FF FF | FF FF | XOR A        |
|    24 |    |      |      |      |    |    |     |     |      | 0006 | AF | 0007 | 0000 | AF | FFFF | FFFF | FFFF | FF FF | FF FF | XOR A        |
|    25 |    | MREQ |      | RFSH |    |    |     |     |      | 0004 | AF | 0007 | 0000 | AF | FFFF | FFFF | FFFF | FF FF | FF FF | XOR A        |
|    26 |    |      |      |      |    |    |     |     |      | 0004 | AF | 0007 | 0000 | AF | FFFF | FFFF | FFFF | FF FF | FF FF | XOR A        |
|    27 | M1 | MREQ |      |      | RD |    |     |     |      | 0007 | AF | 0008 | 0000 | AF | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    28 |    |      |      |      |    |    |     |     |      | 0007 | ED | 0008 | 0000 | ED | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    29 |    | MREQ |      | RFSH |    |    |     |     |      | 0005 | ED | 0008 | 0000 | ED | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    30 |    |      |      |      |    |    |     |     |      | 0005 | ED | 0008 | 0000 | ED | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    31 | M1 | MREQ |      |      | RD |    |     |     |      | 0008 | ED | 0009 | 0000 | ED | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    32 |    |      |      |      |    |    |     |     |      | 0008 | 47 | 0009 | 0000 | 47 | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    33 |    | MREQ |      | RFSH |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    34 |    |      |      |      |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    35 |    |      |      |      |    |    |     |     |      | 0006 | 47 | 0009 | 0000 | 47 | 0044 | FFFF | FFFF | FF FF | FF FF | LD I,A       |
|    36 | M1 | MREQ |      |      | RD |    |     |     |      | 0009 | 47 | 000A | 0000 | 47 | 0044 | FFFF | FFFF | FF FF | FF FF | CALL 001Eh   |
