+-----+----+------+------+------+----+----+------+----+------+------+----+------+----+----+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | B  |mem | Asm          |
+-----+----+------+------+------+----+----+------+----+------+------+----+------+----+----+--------------+
| 1/1 | M1 | MREQ |      |      | RD |    | 0000 | 00 | 0001 | FFFF | 00 | FFFF | FF | 00 | LD A,2       |
| 1/2 |    |      |      |      |    |    | 0000 | 3E | 0001 | FFFF | 3E | FFFF | FF | 00 | LD A,2       |
| 1/3 |    | MREQ |      | RFSH |    |    | 0000 | 3E | 0001 | FFFF | 3E | FFFF | FF | 00 | LD A,2       |
| 1/4 |    |      |      |      |    |    | 0000 | 3E | 0001 | FFFF | 3E | FFFF | FF | 00 | LD A,2       |
| 1/5 |    |      |      |      |    |    | 0000 | 3E | 0001 | FFFF | 3E | FFFF | FF | 00 | LD A,2       |
| 1/6 |    | MREQ |      |      | RD |    | 0001 | 3E | 0002 | FFFF | 3E | FFFF | FF | 00 | LD A,2       |
| 1/7 |    |      |      |      |    |    | 0001 | 02 | 0002 | FFFF | 3E | 02FF | FF | 00 | LD A,2       |
| 2/1 | M1 | MREQ |      |      | RD |    | 0002 | 02 | 0003 | FFFF | 3E | 02FF | FF | 00 | LD B,3       |
| 2/2 |    |      |      |      |    |    | 0002 | 06 | 0003 | FFFF | 06 | 02FF | FF | 00 | LD B,3       |
| 2/3 |    | MREQ |      | RFSH |    |    | 0001 | 06 | 0003 | FFFF | 06 | 02FF | FF | 00 | LD B,3       |
| 2/4 |    |      |      |      |    |    | 0001 | 06 | 0003 | FFFF | 06 | 02FF | FF | 00 | LD B,3       |
| 2/5 |    |      |      |      |    |    | 0001 | 06 | 0003 | FFFF | 06 | 02FF | FF | 00 | LD B,3       |
| 2/6 |    | MREQ |      |      | RD |    | 0003 | 06 | 0004 | FFFF | 06 | 02FF | FF | 00 | LD B,3       |
| 2/7 |    |      |      |      |    |    | 0003 | 03 | 0004 | FFFF | 06 | 02FF | 03 | 00 | LD B,3       |
| 3/1 | M1 | MREQ |      |      | RD |    | 0004 | 03 | 0005 | FFFF | 06 | 02FF | 03 | 00 | ADD A,B      |
| 3/2 |    |      |      |      |    |    | 0004 | 80 | 0005 | FFFF | 80 | 02FF | 03 | 00 | ADD A,B      |
| 3/3 |    | MREQ |      | RFSH |    |    | 0002 | 80 | 0005 | FFFF | 80 | 02FF | 03 | 00 | ADD A,B      |
| 3/4 |    |      |      |      |    |    | 0002 | 80 | 0005 | FFFF | 80 | 02FF | 03 | 00 | ADD A,B      |
| 4/1 | M1 | MREQ |      |      | RD |    | 0005 | 80 | 0006 | FFFF | 80 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/2 |    |      |      |      |    |    | 0005 | 32 | 0006 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/3 |    | MREQ |      | RFSH |    |    | 0003 | 32 | 0006 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/4 |    |      |      |      |    |    | 0003 | 32 | 0006 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/5 |    |      |      |      |    |    | 0003 | 32 | 0006 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/6 |    | MREQ |      |      | RD |    | 0006 | 32 | 0007 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/7 |    |      |      |      |    |    | 0006 | 0A | 0007 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/8 |    |      |      |      |    |    | 0006 | 0A | 0007 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/9 |    | MREQ |      |      | RD |    | 0007 | 0A | 0008 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/10|    |      |      |      |    |    | 0007 | 00 | 0008 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/11|    |      |      |      |    |    | 0007 | 00 | 0008 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/12|    | MREQ |      |      |    | WR | 000A | 05 | 0008 | FFFF | 32 | 0500 | 03 | 00 | LD (000Ah),A |
| 4/13|    |      |      |      |    |    | 000A | 05 | 0008 | FFFF | 32 | 0500 | 03 | 05 | LD (000Ah),A |
| 5/1 | M1 | MREQ |      |      | RD |    | 0008 | 05 | 0009 | FFFF | 32 | 0500 | 03 | 05 | NOP...       |
| 5/2 |    |      |      |      |    |    | 0008 | 00 | 0009 | FFFF | 00 | 0500 | 03 | 05 | NOP...       |
