+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
|  T  | M1 | MREQ | IORQ | RFSH | RD | WR | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | PIO   | Asm          |
+-----+----+------+------+------+----+----+------+----+------+------+----+------+------+------+----+-------+--------------+
| 1/1 | M1 | MREQ |      |      | RD |    | 0000 | 00 | 0001 | FFFF | 00 | FFFF | FFFF | FFFF | FF | AA,FF | DI           |
| 1/2 |    |      |      |      |    |    | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF | AA,FF | DI           |
| 1/3 |    | MREQ |      | RFSH |    |    | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF | AA,FF | DI           |
| 1/4 |    |      |      |      |    |    | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF | AA,FF | DI           |
| 2/1 | M1 | MREQ |      |      | RD |    | 0001 | F3 | 0002 | FFFF | F3 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/2 |    |      |      |      |    |    | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/3 |    | MREQ |      | RFSH |    |    | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/4 |    |      |      |      |    |    | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/5 |    |      |      |      |    |    | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/6 |    | MREQ |      |      | RD |    | 0002 | 31 | 0003 | FFFF | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/7 |    |      |      |      |    |    | 0002 | 00 | 0003 | FF00 | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/8 |    |      |      |      |    |    | 0002 | 00 | 0003 | FF00 | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/9 |    | MREQ |      |      | RD |    | 0003 | 00 | 0004 | FF00 | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 2/10|    |      |      |      |    |    | 0003 | 00 | 0004 | 0000 | 31 | FFFF | FFFF | FFFF | FF | AA,FF | LD SP,0000h  |
| 3/1 | M1 | MREQ |      |      | RD |    | 0004 | 00 | 0005 | 0000 | 31 | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/2 |    |      |      |      |    |    | 0004 | CD | 0005 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/3 |    | MREQ |      | RFSH |    |    | 0002 | CD | 0005 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/4 |    |      |      |      |    |    | 0002 | CD | 0005 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/5 |    |      |      |      |    |    | 0002 | CD | 0005 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/6 |    | MREQ |      |      | RD |    | 0005 | CD | 0006 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/7 |    |      |      |      |    |    | 0005 | 10 | 0006 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/8 |    |      |      |      |    |    | 0005 | 10 | 0006 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/9 |    | MREQ |      |      | RD |    | 0006 | 10 | 0007 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/10|    |      |      |      |    |    | 0006 | 00 | 0007 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/11|    |      |      |      |    |    | 0006 | 00 | 0007 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/12|    |      |      |      |    |    | 0006 | 00 | 0007 | 0000 | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/13|    | MREQ |      |      |    | WR | FFFF | 00 | 0007 | FFFF | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/14|    |      |      |      |    |    | FFFF | 00 | 0007 | FFFF | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/15|    |      |      |      |    |    | FFFF | 00 | 0007 | FFFF | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/16|    | MREQ |      |      |    | WR | FFFE | 07 | 0010 | FFFE | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 3/17|    |      |      |      |    |    | FFFE | 07 | 0010 | FFFE | CD | FFFF | FFFF | FFFF | FF | AA,FF | CALL 0010h   |
| 4/1 | M1 | MREQ |      |      | RD |    | 0010 | 07 | 0011 | FFFE | CD | FFFF | FFFF | FFFF | FF | AA,FF | LD HL,0030h  |
| 4/2 |    |      |      |      |    |    | 0010 | 21 | 0011 | FFFE | 21 | FFFF | FFFF | FFFF | FF | AA,FF | LD HL,0030h  |
| 4/3 |    | MREQ |      | RFSH |    |    | 0003 | 21 | 0011 | FFFE | 21 | FFFF | FFFF | FFFF | FF | AA,FF | LD HL,0030h  |
| 4/4 |    |      |      |      |    |    | 0003 | 21 | 0011 | FFFE | 21 | FFFF | FFFF | FFFF | FF | AA,FF | LD HL,0030h  |
| 4/5 |    |      |      |      |    |    | 0003 | 21 | 0011 | FFFE | 21 | FFFF | FFFF | FFFF | FF | AA,FF | LD HL,0030h  |
| 4/6 |    | MREQ |      |      | RD |    | 0011 | 21 | 0012 | FFFE | 21 | FFFF | FFFF | FFFF | FF | AA,FF | LD HL,0030h  |
| 4/7 |    |      |      |      |    |    | 0011 | 30 | 0012 | FFFE | 21 | FFFF | FFFF | FF30 | FF | AA,FF | LD HL,0030h  |
| 4/8 |    |      |      |      |    |    | 0011 | 30 | 0012 | FFFE | 21 | FFFF | FFFF | FF30 | FF | AA,FF | LD HL,0030h  |
| 4/9 |    | MREQ |      |      | RD |    | 0012 | 30 | 0013 | FFFE | 21 | FFFF | FFFF | FF30 | FF | AA,FF | LD HL,0030h  |
| 4/10|    |      |      |      |    |    | 0012 | 00 | 0013 | FFFE | 21 | FFFF | FFFF | 0030 | FF | AA,FF | LD HL,0030h  |
| 5/1 | M1 | MREQ |      |      | RD |    | 0013 | 00 | 0014 | FFFE | 21 | FFFF | FFFF | 0030 | FF | AA,FF | LD B,03h     |
| 5/2 |    |      |      |      |    |    | 0013 | 06 | 0014 | FFFE | 06 | FFFF | FFFF | 0030 | FF | AA,FF | LD B,03h     |
| 5/3 |    | MREQ |      | RFSH |    |    | 0004 | 06 | 0014 | FFFE | 06 | FFFF | FFFF | 0030 | FF | AA,FF | LD B,03h     |
| 5/4 |    |      |      |      |    |    | 0004 | 06 | 0014 | FFFE | 06 | FFFF | FFFF | 0030 | FF | AA,FF | LD B,03h     |
| 5/5 |    |      |      |      |    |    | 0004 | 06 | 0014 | FFFE | 06 | FFFF | FFFF | 0030 | FF | AA,FF | LD B,03h     |
| 5/6 |    | MREQ |      |      | RD |    | 0014 | 06 | 0015 | FFFE | 06 | FFFF | FFFF | 0030 | FF | AA,FF | LD B,03h     |
| 5/7 |    |      |      |      |    |    | 0014 | 03 | 0015 | FFFE | 06 | FFFF | 03FF | 0030 | FF | AA,FF | LD B,03h     |
| 6/1 | M1 | MREQ |      |      | RD |    | 0015 | 03 | 0016 | FFFE | 06 | FFFF | 03FF | 0030 | FF | AA,FF | LD C,1Dh     |
| 6/2 |    |      |      |      |    |    | 0015 | 0E | 0016 | FFFE | 0E | FFFF | 03FF | 0030 | FF | AA,FF | LD C,1Dh     |
| 6/3 |    | MREQ |      | RFSH |    |    | 0005 | 0E | 0016 | FFFE | 0E | FFFF | 03FF | 0030 | FF | AA,FF | LD C,1Dh     |
| 6/4 |    |      |      |      |    |    | 0005 | 0E | 0016 | FFFE | 0E | FFFF | 03FF | 0030 | FF | AA,FF | LD C,1Dh     |
| 6/5 |    |      |      |      |    |    | 0005 | 0E | 0016 | FFFE | 0E | FFFF | 03FF | 0030 | FF | AA,FF | LD C,1Dh     |
| 6/6 |    | MREQ |      |      | RD |    | 0016 | 0E | 0017 | FFFE | 0E | FFFF | 03FF | 0030 | FF | AA,FF | LD C,1Dh     |
| 6/7 |    |      |      |      |    |    | 0016 | 1D | 0017 | FFFE | 0E | FFFF | 031D | 0030 | FF | AA,FF | LD C,1Dh     |
