+------+----+------+------+------+----+----+-----+-----+------+----+------+------+----+------+------+------+----+-----+-------+--------------+
|ins/t | M1 | MREQ | IORQ | RFSH | RD | WR | INT | IFF | AB   | DB | PC   | SP   | IR | AF   | BC   | HL   |mem | ieo | pio   | asm          |
+------+----+------+------+------+----+----+-----+-----+------+----+------+------+----+------+------+------+----+-----+-------+--------------+
|  1/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0000 | 00 | 0001 | FFFF | 00 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | DI           |
|  1/2 |    |      |      |      |    |    |     | 0,0 | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | DI           |
|  1/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | DI           |
|  1/4 |    |      |      |      |    |    |     | 0,0 | 0000 | F3 | 0001 | FFFF | F3 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | DI           |
|  2/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0001 | F3 | 0002 | FFFF | F3 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/2 |    |      |      |      |    |    |     | 0,0 | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/4 |    |      |      |      |    |    |     | 0,0 | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/5 |    |      |      |      |    |    |     | 0,0 | 0001 | 31 | 0002 | FFFF | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/6 |    | MREQ |      |      | RD |    |     | 0,0 | 0002 | 31 | 0003 | FFFF | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/7 |    |      |      |      |    |    |     | 0,0 | 0002 | 00 | 0003 | FF00 | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/8 |    |      |      |      |    |    |     | 0,0 | 0002 | 00 | 0003 | FF00 | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/9 |    | MREQ |      |      | RD |    |     | 0,0 | 0003 | 00 | 0004 | FF00 | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  2/10|    |      |      |      |    |    |     | 0,0 | 0003 | 00 | 0004 | 0000 | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | LD SP,0000h  |
|  3/1 | M1 | MREQ |      |      | RD |    |     | 0,0 | 0004 | 00 | 0005 | 0000 | 31 | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | IM 2         |
|  3/2 |    |      |      |      |    |    |     | 0,0 | 0004 | ED | 0005 | 0000 | ED | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | IM 2         |
|  3/3 |    | MREQ |      | RFSH |    |    |     | 0,0 | 0002 | ED | 0005 | 0000 | ED | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | IM 2         |
|  3/4 |    |      |      |      |    |    |     | 0,0 | 0002 | ED | 0005 | 0000 | ED | FFFF | FFFF | FFFF | FF | 1,1 | FF,FF | IM 2         |
